"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Efficient Software Defined Systems Using Common Core Components","H. Lee; G. C. Fox","Sch. of Inf. & Comput., Indiana Univ., Bloomington, IN, USA; Sch. of Inf. & Comput., Indiana Univ., Bloomington, IN, USA","2017 IEEE 10th International Conference on Cloud Computing (CLOUD)","11 Sep 2017","2017","","","407","414","With advent of Docker containers, an application deployment using container images gains popularity over scientific communities and major cloud providers to ease building reproducible environments. While a single base image can be imported multiple times from different containers to reduce storage consumption by a sharing technique, copy-on-write, duplicates of package dependencies are often observed over containers. In this paper, we propose new approaches to the container image management for eliminating duplicated dependencies. We create Common Core Components (3C) to share package dependencies by version control system commands, submodules and merge. 3C with submodules provides a collection of required libraries and tools in a separate branch, while keeping their base image same. 3C with merge offers a new base image including domain specific components thereby reducing duplicates in similar base images. Container images built with 3C enable efficient and compact software defined systems and disclose security information for tracking Common Vulnerability and Exposure (CVE). As a result, building application environments with 3C-enabled container images consumes less storage compared to existing Docker images. Dependency information for vulnerability is provided in detail for further developments.","2159-6190","978-1-5386-1993-3","10.1109/CLOUD.2017.59","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8030615","Software Defined Systems;Common Core Components;Containers;DevOps;Dependencies","Containers;Libraries;Tools;Buildings;Software packages;Big Data","cloud computing;information storage;public domain software;security of data;software packages","Common Core Components;Docker containers;cloud providers;single base image;sharing technique;package dependencies;container image management;version control system commands;compact software defined systems;application environments;3C-enabled container images;dependency information;copy-on-write;software defined systems;Common Vulnerability and Exposure tracking;CVE tracking;Docker images;security information","","","1","23","","11 Sep 2017","","","IEEE","IEEE Conferences"
"Process-Oriented Non-intrusive Recovery for Sporadic Operations on Cloud","M. Fu; L. Zhu; I. Weber; L. Bass; A. Liu; X. Xu","NICTA, Sydney, NSW, Australia; NICTA, Sydney, NSW, Australia; NICTA, Sydney, NSW, Australia; NICTA, Sydney, NSW, Australia; NICTA, Sydney, NSW, Australia; NICTA, Sydney, NSW, Australia","2016 46th Annual IEEE/IFIP International Conference on Dependable Systems and Networks (DSN)","3 Oct 2016","2016","","","85","96","Cloud-based systems get changed more frequently than traditional systems. These frequent changes involve sporadic operations such as installation and upgrade. Sporadic operations may fail due to the uncertainty of cloud platforms. Each sporadic operation manipulates a number of cloud resources. The accessibility of resources manipulated makes it possible to build an accurate process model of the correct behavior for an operation and its desired effects. This paper proposes a non-intrusive recovery approach for sporadic operations on cloud, called POD-Recovery. POD-Recovery utilizes the above-mentioned process model of the operation. When needed, it triggers recovery actions based on the model through non-intrusive means, i.e., without modifying the code which implements the sporadic operation. POD-Recovery employs an efficient artificial intelligence (AI) planning technique for generating recovery plans. We implement POD-Recovery and evaluate it by recovering from faults injected into 920 runs of five representative sporadic operations.","2158-3927","978-1-4673-8891-7","10.1109/DSN.2016.17","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7579732","Software Reliability;Cloud;Non-Intrusive Recovery;Log Analysis;DevOps","Cloud computing;Runtime;Artificial intelligence;Monitoring;Virtual machining;Training;Australia","cloud computing;planning (artificial intelligence);resource allocation;software fault tolerance;system recovery","process-oriented nonintrusive recovery;sporadic operation;cloud-based system;resource manipulation;process model;POD-Recovery;artificial intelligence;AI planning technique;fault injection","","1","1","37","","3 Oct 2016","","","IEEE","IEEE Conferences"
"Adopting Continuous Integeration and Continuous Delivery for Small Teams","M. K. A. Abbass; R. I. E. Osman; A. M. H. Mohammed; M. W. A. Alshaikh","Sudan University of Science and Technology,College of Computer Science and Information Technology,Khartoum,Sudan; Sudan University of Science and Technology,College of Computer Science and Information Technology,Khartoum,Sudan; Sudan University of Science and Technology,College of Computer Science and Information Technology,Khartoum,Sudan; Sudan University of Science and Technology,College of Computer Science and Information Technology,Khartoum,Sudan","2019 International Conference on Computer, Control, Electrical, and Electronics Engineering (ICCCEEE)","20 Apr 2020","2019","","","1","4","Continuous Integration is the practice of merging small code changes frequently rather than merging large number changes at the end of a development cycle. In addition, after each integration, the system should be re-built and re-tested to ensure that the system is still working after each change, and it's safe to build on top of it. Continuous delivery is software practice in which the software can be deployed to the market at any given time. Developing continuous integration and continuous delivery platform will solve a lot of problems in old agile methods such as increases time to find and fix bugs as testing process late, deploying software that has not been fully tested and shared testing resources which cases delivery delays, when multiple projects are ready for testing one project get tested and others are queued waiting for the testing resource to be released. Also continuous delivery guides development organization to build valuable software and to increase the number of releases. With all this benefits there are some problem obstructing companies from moving to the new platform, some of them are human factors such as human resistant to changes and other are technical such as moving to new platform require learning new tools and training. To help overcome these problems we need to develop simple platform which is more usable and easy to learn. Also some problems happen when applying CI/CD some of them related to testing and others related to integration. Testing problem are: ambiguous test result which is test results that doesn't guided the developers to finds bugs, which increases time to find and fix it; time consuming tests which require developers to waiting large amount of time for testing reports after each small changes, this waiting cause the developers to practice large commit (merging large number of changes) which slows the integration process. Slow integration mean large number of conflict lines, now instead of doing productive process developers wasting time to solve this conflicts. To overcome these problem we introduce a new way to configuring tests. As you see solving time consumes test will solve integrations problems. To reduce testing time we need to organize the test in such way that tests are more appointed and targeted to changed code only. This method enforces a concept called micro-pipeline. A micro-pipeline is group of testing blocks, each block is responsible for specific type of test for specific unit of code, connected together in such a way that passing the block tests triggers the next test block in series. When integration happen the developer specify test block which is responsible for testing made changes only. The idea behind micro-pipeline is to test affected part only.","","978-1-7281-1006-6","10.1109/ICCCEEE46830.2019.9070849","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9070849","DevOps;Continuous Integration;Continuous Delivery","Testing;Software;Companies;Computer bugs;Reliability;Computer science;Information technology","program testing;resource allocation;software maintenance;software prototyping","code changes;software development cycle;continuous delivery platform;shared testing resources;block tests;continuous integration platform;micropipeline concept","","1","","8","","20 Apr 2020","","","IEEE","IEEE Conferences"
"Microservices in Industry: Insights into Technologies, Characteristics, and Software Quality","J. Bogner; J. Fritzsch; S. Wagner; A. Zimmermann","University of Stuttgart, Germany; University of Stuttgart, Germany; University of Stuttgart, Germany; University of Applied Sciences, Reutlingen, Germany","2019 IEEE International Conference on Software Architecture Companion (ICSA-C)","13 May 2019","2019","","","187","195","Microservices are a topic driven mainly by practitioners and academia is only starting to investigate them. Hence, there is no clear picture of the usage of Microservices in practice. In this paper, we contribute a qualitative study with insights into industry adoption and implementation of Microservices. Contrary to existing quantitative studies, we conducted interviews to gain a more in-depth understanding of the current state of practice. During 17 interviews with software professionals from 10 companies, we analyzed 14 service-based systems. The interviews focused on applied technologies, Microservices characteristics, and the perceived influence on software quality. We found that companies generally rely on well-established technologies for service implementation, communication, and deployment. Most systems, however, did not exhibit a high degree of technological diversity as commonly expected with Microservices. Decentralization and product character were different for systems built for external customers. Applied DevOps practices and automation were still on a mediocre level and only very few companies strictly followed the you build it, you run it principle. The impact of Microservices on software quality was mainly rated as positive. While maintainability received the most positive mentions, some major issues were associated with security. We present a description of each case and summarize the most important findings of companies across different domains and sizes. Researchers may build upon our findings and take them into account when designing industry-focused methods.","","978-1-7281-1876-5","10.1109/ICSA-C.2019.00041","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8712375","Microservices;industry;interviews;service technology;software quality","Java;Interviews;Companies;Cloud computing;Industries;Software quality","service-oriented architecture;software development management;software maintenance;software quality","software quality;software professionals;service-based systems;microservices;DevOps practices;maintainability;service-oriented computing;service-oriented architecture","","16","","16","","13 May 2019","","","IEEE","IEEE Conferences"
"Enhancing security of Docker using Linux hardening techniques","Amith Raj MP; A. Kumar; S. J. Pai; A. Gopal","Information Science and Engineering, Dayananda Sagar College of Engineering, Bengaluru, India; Information Science and Engineering, Dayananda Sagar College of Engineering, Bengaluru, India; Computer Science and Engineering, Dayananda Sagar College of Engineering, Bengaluru, India; Information Science and Engineering, Dayananda Sagar College of Engineering, Bengaluru, India","2016 2nd International Conference on Applied and Theoretical Computing and Communication Technology (iCATccT)","27 Apr 2017","2016","","","94","99","Docker which is a lightweight containerization tool has enabled DevOps to build and run applications in distributed environment effectively. Docker has generated a significant momentum by bringing together a standardized containing method which is easy to use by enabling the users to use Linux containers to its full capacity. Docker currently supports the Linux hardening capabilities and Linux Security Modules (LSM) with AppArmor and SELinux for host system hardening. Docker interacts with the kernel security systems and LSMs. In this research work, the security depth of a popular open source model based on containers and study on other security features and techniques to enhance the security of Docker is performed. Integrating virtualization, automated testing, Deployment tools and security configurations management will enhance the security capability of Docker on premise.","","978-1-5090-2399-8","10.1109/ICATCCT.2016.7911971","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7911971","Docker;LSM;Selinux;Apparmor;Security","Containers;Security;Linux;Kernel;File systems;Virtual machining;Virtualization","distributed processing;Linux;operating system kernels;security of data;software tools;virtualisation","Docker security enhancement;Linux hardening techniques;lightweight containerization tool;DevOps;distributed environment;standardized containing method;Linux containers;Linux security modules;LSM;AppArmor;SELinux;host system hardening;kernel security systems;virtualization;automated testing;security configurations management;deployment tools","","4","1","31","","27 Apr 2017","","","IEEE","IEEE Conferences"
"Continuous Security Testing: A Case Study on Integrating Dynamic Security Testing Tools in CI/CD Pipelines","T. Rangnau; R. v. Buijtenen; F. Fransen; F. Turkmen",University of Groningen; University of Groningen; TNO; University of Groningen,"2020 IEEE 24th International Enterprise Distributed Object Computing Conference (EDOC)","23 Oct 2020","2020","","","145","154","Continuous Integration (CI) and Continuous Delivery (CD) have become a well-known practice in DevOps to ensure fast delivery of new features. This is achieved by automatically testing and releasing new software versions, e.g. multiple times per day. However, classical security management techniques cannot keep up with this quick Software Development Life Cycle (SDLC). Nonetheless, guaranteeing high security quality of software systems has become increasingly important. The new trend of DevSecOps aims to integrate security techniques into existing DevOps practices. Especially, the automation of security testing is an important area of research in this trend. Although plenty of literature discusses security testing and CI/CD practices, only a few deal with both topics together. Additionally, most of the existing works cover only static code analysis and neglect dynamic testing methods. In this paper, we present an approach to integrate three automated dynamic testing techniques into a CI/CD pipeline and provide an empirical analysis of the introduced overhead. We then go on to identify unique research/technology challenges the DevSecOps communities will face and propose preliminary solutions to these challenges. Our findings will enable informed decisions when employing DevSecOps practices in agile enterprise applications engineering processes and enterprise security.","2325-6362","978-1-7281-6473-1","10.1109/EDOC49727.2020.00026","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9233212","DevSecOps;Dynamic Security Web Testing;Continuous Security;Continuous Integration","Security;Testing;Pipelines;Synthetic aperture sonar;Automation;Application security;Tools","program testing;security of data;software development management;software quality","software development life cycle;continuous security testing;dynamic security testing tools;CI;CD;DevOps practices;continuous integration;continuous delivery","","3","","23","","23 Oct 2020","","","IEEE","IEEE Conferences"
"An Empirical Study on Culture, Automation, Measurement, and Sharing of DevSecOps","N. Tomas; J. Li; H. Huang","Norwegian University of Science and Technology, Trondheim, Norway; Norwegian University of Science and Technology, Trondheim, Norway; Software Institute and Department of Computer Science, Nanjing University, Nanjing, China","2019 International Conference on Cyber Security and Protection of Digital Services (Cyber Security)","31 Oct 2019","2019","","","1","8","Programmers are central agents in creating secure applications. However, software engineering and software security have historically worked in separate silos. DevSecOps is the practice of breaking down silos between development, operations, and quality assurance of security. To understand the state of art and challenges of DevSecOps, we interviewed six developers about their DevSecOps practices. We asked interview subjects about their security practices rooted in the four pillars of DevOps, namely culture, automation, sharing, and measurement. Results were analyzed by using qualitative methods. The results of the study show that it is necessary first to create a security culture. Several interviewees identified the importance of caring about security and issues in existing culture, such as how developers feel attacked by security engineers if they create vulnerable code. After establishing a security culture in the organization, development and operations need the necessary training and knowledge so that security automation tools can be utilized effectively. Measurements need to be applied continuously to keep track of identified vulnerabilities, the amount of training staff has received, and staffs general opinions regarding security.","","978-1-7281-0229-0","10.1109/CyberSecPODS.2019.8884935","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8884935","DevOps;Security;Culture;Automation;Measurements;Sharing","Security;Companies;Tools;Software;Automation;Interviews;Training","personnel;security of data;software engineering","central agents;secure applications;software engineering;software security;DevSecOps practices;security practices;security culture;security automation tools","","18","","20","","31 Oct 2019","","","IEEE","IEEE Conferences"
"Fast Development Platforms and Methods for Cloud Applications","S. Hosono; J. He; X. Liu; L. Li; H. Huang; S. Yoshino","Service Platforms Res. Labs., NEC Corp., Kawasaki, Japan; Platform Software Dev. Div., NEC China Co. Ltd., Beijing, China; Platform Software Dev. Div., NEC China Co. Ltd., Beijing, China; Platform Software Dev. Div., NEC China Co. Ltd., Beijing, China; Platform Software Dev. Div., NEC China Co. Ltd., Beijing, China; Service Dev. Div., NEC BIGLOBE Co. Ltd., Tokyo, Japan","2011 IEEE Asia-Pacific Services Computing Conference","12 Jan 2012","2011","","","94","101","This paper proposes a cloud application framework, which integrates both the development and production environment seamlessly. The framework consists of the client-side integrated development environment (IDE), and the server-side service portfolio and cloud controller. The IDE has requirement definition, architecture design and application prototyping tools, and it can simulate execution of large-scale applications in developers' PCs. The service portfolio incorporates data from these tools and enables automatic data sharing between them, thereby avoiding setback and redundancy. To accommodate the applications on the cloud, the cloud controller utilizes the resource structures designed in the IDE and generates virtual machines (VMs) from templates, in which a verified OS and middleware for large-scale data processing are packaged. The behavior of VMs and applications will be automatically monitored and catalogued as a guideline for the next project. With these comprehensive approaches, the system integration methods can be streamlined and the acceleration of development can be easily demonstrated.","","978-1-4673-0206-7","10.1109/APSCC.2011.75","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6127948","Cloud Computing;DevOps;Application Prototyping;Application Lifecycle Management","Computational modeling;Servers;Portfolios;Computer architecture;Middleware;Unified modeling language;Business","cloud computing;middleware;software architecture;virtual machines","cloud application;production environment;client-side integrated development environment;server-side service portfolio;cloud controller;architecture design;prototyping tool;automatic data sharing;virtual machine;verified OS;middleware;large-scale data processing;system integration","","3","2","19","","12 Jan 2012","","","IEEE","IEEE Conferences"
"Towards Explicitly Elastic Programming Frameworks","K. R. Jayaram","IBM Thomas J. Watson Res. Center, Yorktown Heights, NY, USA","2015 IEEE/ACM 37th IEEE International Conference on Software Engineering","17 Aug 2015","2015","2","","619","622","It is a widely held view that software engineers should not be ""burdened"" with the responsibility of making their application components elastic, and that elasticity should be either be implicit and automatic in the programming framework; or that it is the responsibility of the cloud provider's operational staff (DevOps) to make distributed applications written for dedicated clusters elastic and execute them on cloud environments. In this paper, we argue the opposite - we present a case for explicit elasticity, where software engineers are given the flexibility to explicitly engineer elasticity into their distributed applications. We present several scenarios where elasticity retrofitted to applications by DevOps is ineffective, present preliminary empirical evidence that explicit elasticity improves efficiency, and argue for elastic programming languages and frameworks to reduce programmer effort in engineering elastic distributed applications. We also present a bird's eye view of ongoing work on two explicitly elastic programming frameworks - Elastic Thrift (based on Apache Thrift) and Elastic Java, an extension of Java with support for explicit elasticity.","1558-1225","978-1-4799-1934-5","10.1109/ICSE.2015.207","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7203027","","Elasticity;Programming;Runtime;Java;Servers;Software;Measurement","cloud computing;Java;software engineering","explicit elastic programming frameworks;software engineers;cloud provider operational staff;DevOps;cloud environments;elastic programming languages;elastic thrift programming frameworks;elastic Java","","2","1","16","","17 Aug 2015","","","IEEE","IEEE Conferences"
"Using Rules Engine in the Automation of System Security Review","A. A. Alnaim",Saudi Aramco,"2019 IEEE Cybersecurity Development (SecDev)","18 Nov 2019","2019","","","142","142","Best practice has determined the importance of reviewing the security design and architecture of a system early in the system's development life-cycle. This is done to ensure the security of the developed system. The review of a system design to ensure compliance with policies, standards, and best practices oftentimes takes the form of a manual. Utilization of this method can be a time-consuming process, where the security team reviews the design and architecture. Often times, this process can contradict the agility provided by implementing DevOps; a practice that promises agility throughout the System development life-cycle. The DevOps system creates a capability for automating processes that assist in the building, testing and releasing software created by IT teams. The contradiction demonstrated between this automated assessment practice and the more archaic manual review practices, frequently depict the security team as show-stoppers. Given that the security team is then responsible for ensuring quality standards are met, the release of a system can be delayed due to the human element when it is possible to automate this process and remove the human variable. This process can be effective except in cases where the system being assessed does not align with the predetermined framework provided to the automated assessment process. The process to be automated is designed to review the security architecture of systems and application commissioned throughout the organization's network. The manual process begins with the application of a questionnaire submitted by the project lead. A security analyst is then responsible for then manually reviewing the submitted questionnaire. This review involves the assessment and analysis of the designs elements as well as all of the controls present in the process. This would include controls such as the various authentication, authorization controls, accountability controls, network communication protocols, encryption, application and service accounts, the application security requirements and any other related controls. This process can be extensive and would get extended with more complexity the reviewed system gets. The goal is to maintain the same level of security maturity provided by the process while enhancing the processing time. To achieve this goal, I have developed a rules engine that incorporates all of the required security controls and translates these controls into questions and answers. Each answer is stored with the approval status and the required approval level, or approver. The rules engine will determine whether the request is approved, not approved or requires additional manual review by the team. If the request is approved the application will assign the required approver (data owner, system proponents, access management, etc.). After the approval workflow is completed, the requester must submit compliance items proving compliance with the provided information. This innovative rule engine application is dynamic and the rules can be changed and adjusted based on requirements of the organization's policy. The new process has been able to reduce the average time of the process down to a single hour. Through the reduction in time spent on reviewing the security design and architecture of system design, an organization is able to demonstrate a much greater efficiency throughout its operations.","","978-1-5386-7289-1","10.1109/SecDev.2019.00025","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8901674","System Security Review;Security","","","","","","","0","","18 Nov 2019","","","IEEE","IEEE Conferences"
"Experience report: Anomaly detection of cloud application operations using log and cloud metric correlation analysis","M. Farshchi; J. Schneider; I. Weber; J. Grundy","School of Software and Electrical Engineering, Swinburne University of Technology, Melbourne, Australia; School of Software and Electrical Engineering, Swinburne University of Technology, Melbourne, Australia; Software Systems Research Group, NICTA, Sydney, Australia; School of Software and Electrical Engineering, Swinburne University of Technology, Melbourne, Australia","2015 IEEE 26th International Symposium on Software Reliability Engineering (ISSRE)","14 Jan 2016","2015","","","24","34","Failure of application operations is one of the main causes of system-wide outages in cloud environments. This particularly applies to DevOps operations, such as backup, redeployment, upgrade, customized scaling, and migration that are exposed to frequent interference from other concurrent operations, configuration changes, and resources failure. However, current practices fail to provide a reliable assurance of correct execution of these kinds of operations. In this paper, we present an approach to address this problem that adopts a regression-based analysis technique to find the correlation between an operation's activity logs and the operation activity's effect on cloud resources. The correlation model is then used to derive assertion specifications, which can be used for runtime verification of running operations and their impact on resources. We evaluated our proposed approach on Amazon EC2 with 22 rounds of rolling upgrade operations while other types of operations were running and random faults were injected. Our experiment shows that our approach successfully managed to raise alarms for 115 random injected faults, with a precision of 92.3%.","","978-1-5090-0406-5","10.1109/ISSRE.2015.7381796","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7381796","Cloud application operations;DevOps;Cloud monitoring;anomaly detection;error detection;log analysis","Cloud computing;Measurement;Monitoring;Correlation;Interference;Australia;Production","cloud computing;regression analysis;system monitoring","anomaly detection;cloud application operations;cloud metric correlation analysis;log correlation analysis;regression-based analysis;operations activity logs;cloud resources;correlation model;assertion specifications;runtime verification;Amazon EC2;random injected faults","","39","2","30","","14 Jan 2016","","","IEEE","IEEE Conferences"
"Agile Development Practices Applied to Software Startups : A Systematic Mapping Review","P. C. Abrantes; A. Paula Furtado","Cesar School,Recife,Brazil; Rural Federal University of Pernambuco,Recife,Brazil","2021 16th Iberian Conference on Information Systems and Technologies (CISTI)","12 Jul 2021","2021","","","1","6","Context: Previous studies considered software startups are not applying agile development practices, especially those related to quality. This leads to the accumulation of technical debt. Objective: This study aims at identifying primary studies that describe how startups are applying agile development practices and how they could benefit from these practices, thereby contributing to product quality improvement and better resource allocation. Method: A Systematic Mapping Study was conducted which applied automatic searches so as to identify relevant primary studies. Results: 60 primary studies were identified that present information regarding practices, challenges, and limitations of adopting agile development practices in startups and also the benefits, tools, and ways of simplifying their adoption. Conclusions: 55 agile development practices used by startups were found, the most cited ones being associated with DevOps, Test Automation, and Scrum. The main challenges and limitations are related to the difficulty of adapting legacy systems architecture to support DevOps practices, to market volatility, to the need for quick product release, and to resources, including financial resources, being limited. Benefits related to having improved internal processes were the most cited and 128 tools were classified. Few studies have offered answers on how to simplify adopting agile development practices, although all of them led to tools for automating processes being used.","2166-0727","978-989-54659-1-0","10.23919/CISTI52073.2021.9476368","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9476368","software startups;agile development practices;tools","Systematics;Automation;Computer architecture;Tools;Software;Product design;Quality assessment","project management;resource allocation;software prototyping;software quality","agile development practices;software startups;systematic mapping study;financial resources;DevOps;market volatility;test automation;Scrum;resource allocation","","","","16","","12 Jul 2021","","","IEEE","IEEE Conferences"
"Quality Assurance Practices in Continuous Delivery - an implementation in Big Data Domain","A. Cheriyan; R. R. Gondkar; T. Gopal; S. B. S.","CMR University, Bangalore, Karnataka, 560 043, INDIA; CMR University, Bangalore, Karnataka, 560 043, INDIA; Huawei Technologies India Private Limited, Bangalore, India; Huawei Technologies India Private Limited, Bangalore, India","2018 IEEE 8th International Advance Computing Conference (IACC)","18 Apr 2019","2018","","","7","13","This paper provides the details about the Quality Assurance practices and techniques to be followed by the QA professional (also called SQA-Software Quality Assurance) in continuous delivery mode of software development. QA professionals are responsible for the process definition, audit, training and other assurance activites in the project. The paper provides a QA model named 'ACID-QA' model which comprises of key practices which can be used by the QA professional in continuous delivery mode of software development. The objective of the 'ACID-QA' model is to provide a working model for the SQA which can be used during the planning, requirement, design, coding, testing, continuous integration, audit and release activities of the project. The paper provides an overview of each of the practice areas of the model in the further sections. This model is implemented in Big Data Hadoop File system and Map Reduce and it is found that the product quality issues found by SQA Professionals are improved by 100%. The audit findings are further detailed down in the paper.","2473-3571","978-1-5386-6678-4","10.1109/IADCC.2018.8692131","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8692131","Quality Assurance;Continuous Delivery;DevOps;QA Professional;SQA;Continuous Integration","Pipelines;Quality assurance;Testing;Big Data;Tools;Security;Cloud computing","Big Data;parallel processing;quality assurance;software quality","software development;ACID-QA model;Big Data Hadoop File system;product quality issues;SQA Professionals;software quality assurance;Map Reduce","","","","12","","18 Apr 2019","","","IEEE","IEEE Conferences"
"Continuous Deployment at Facebook and OANDA","T. Savor; M. Douglas; M. Gentili; L. Williams; K. Beck; M. Stumm","Facebook, Menlo Park, CA, USA; Dept. of Comput. Sci., Stanford Univ., Stanford, CA, USA; OANDA Corp., New York, NY, USA; Dept. of Comput. Sci., Stanford Univ., Stanford, CA, USA; Facebook, Menlo Park, CA, USA; ECE Dept., Univ. of Toronto, Toronto, ON, Canada","2016 IEEE/ACM 38th International Conference on Software Engineering Companion (ICSE-C)","23 Mar 2017","2016","","","21","30","Continuous deployment is the software engineering practice of deploying many small incremental software updates into production, leading to a continuous stream of 10s, 100s, or even 1,000s of deployments per day. High-profile Internet firms such as Amazon, Etsy, Facebook, Flickr, Google, and Netflix have embraced continuous deployment. However, the practice has not been covered in textbooks and no scientific publication has presented an analysis of continuous deployment. In this paper, we describe the continuous deployment practices at two very different firms: Facebook and OANDA. We show that continuous deployment does not inhibit productivity or quality even in the face of substantial engineering team and code size growth. To the best of our knowledge, this is the first study to show it is possible to scale the size of an engineering team by 20X and the size of the code base by 50X without negatively impacting developer productivity or software quality. Our experience suggests that top-level management support of continuous deployment is necessary, and that given a choice, developers prefer faster deployment. We identify elements we feel make continuous deployment viable and present observations from operating in a continuous deployment environment.","","978-1-4503-4205-6","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7883285","Continuous Deployment;Agile Process;Deployment Process;DevOps;Continuous Delivery;Release Engineering;Release Management","Software;Testing;Facebook;Organizations;Productivity;Servers","productivity;social networking (online);software development management;software quality;team working","Facebook;OANDA;continuous deployment;software engineering;small incremental software updates deployment;high-profile Internet firms;software quality;code size growth;engineering team size;developer productivity;top-level management support","","5","2","28","","23 Mar 2017","","","IEEE","IEEE Conferences"
"Continuous Delivery Practices in a Large Financial Organization","C. Vassallo; F. Zampetti; D. Romano; M. Beller; A. Panichella; M. Di Penta; A. Zaidman","Univ. of Zurich, Zurich, Switzerland; Univ. of Sannio, Benevento, Italy; ING NL, Amsterdam, Netherlands; Delft Univ. of Technol., Delft, Netherlands; Delft Univ. of Technol., Delft, Netherlands; Univ. of Sannio, Benevento, Italy; Delft Univ. of Technol., Delft, Netherlands","2016 IEEE International Conference on Software Maintenance and Evolution (ICSME)","16 Jan 2017","2016","","","519","528","Continuous Delivery is an agile software development practice in which developers frequently integrate changes into the main development line and produce releases of their software. An automated Continuous Integration infrastructure builds and tests these changes. Claimed advantages of CD include early discovery of (integration) errors, reduced cycle time, and better adoption of coding standards and guidelines. This paper reports on a study in which we surveyed 152 developers of a large financial organization (ING Nederland), and investigated how they adopt a Continuous Integration and delivery pipeline during their development activities. In our study, we focus on topics related to managing technical debt, as well as test automation practices. The survey results shed light on the adoption of some agile methods in practice, and sometimes confirm, while in other cases, confute common wisdom and results obtained in other studies. For example, we found that refactoring tends to be performed together with other development activities, technical debt is almost always ""self-admitted"", developers timely document source code, and assure the quality of their product through extensive automated testing, with a third of respondents dedicating more than 50% of their time to do testing activities.","","978-1-5090-3806-0","10.1109/ICSME.2016.72","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7816504","Continuous Delivery;Continuous Integration;DevOps;Agile Development;Technical Debt;Refactoring;Testing;Test-Driven Development","Pipelines;Testing;Software;Monitoring;Organizations;Measurement","financial data processing;program testing;quality assurance;software maintenance;software prototyping;software quality;source code (software)","continuous delivery;CD;financial organization;ING Nederland;agile software development;continuous integration infrastructure;CI infrastructure;software refactoring;document source code;product quality assurance;automated testing","","22","1","48","","16 Jan 2017","","","IEEE","IEEE Conferences"
"Automated virtual network functions onboarding","C. Makaya; D. Freimuth","IBM T. J. Watson Research Center, Yorktown Heights, NY, USA; IBM T. J. Watson Research Center, Yorktown Heights, NY, USA","2016 IEEE Conference on Network Function Virtualization and Software Defined Networks (NFV-SDN)","8 May 2017","2016","","","206","211","Network functions virtualization (NFV) opens up a new ability of network enablement through agile network DevOps to design, develop, and test new services and to provide ongoing updates of existing services. This paper proposes a tool and methodology to aid the NFV designer to rapidly design and onboard new services and applications. Although the main focus is on the service design and onboarding, we provide the relation with other aspects such as management and orchestration, and service assurance of a complete lifecycle for network service. The proposed tool and methodology is called VNF Onboarding Automation Tool (VOAT). The prototype implementation is discussed as well as various use cases where VOAT has been used. With VOAT, an automated service design and onboarding can be efficiently achieved, hence reducing significantly the timeframe for deploying new services in telco cloud-based environment.","","978-1-5090-0933-6","10.1109/NFV-SDN.2016.7919499","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7919499","NFV;VNF;onboarding;service catalog;descriptors;templates;orchestration;management;virtualization","Cloud computing;Automation;Metadata;Monitoring;Conferences","computer networks;virtualisation","virtual network functions onboarding;network functions virtualization;NFV;network enablement;agile network DevOps;VNF onboarding automation tool;VOAT;telco cloud-based environment","","6","","18","","8 May 2017","","","IEEE","IEEE Conferences"
